column,family,cn_name,note
macd_signal_convergence_trend,MACD深度族,DIF−DEA 收敛趋势(5 窗 min_periods=2 斜率),
pct_change,alpha族,日收益率,
clv,alpha族,收盘位置值((收−低)/(高−低+eps)),
upper_shadow_ratio,alpha族,上影线占比,
body_strength,alpha族,实体强度((收−开)/(高−低+eps)),
rank_return,alpha族,当日全市场收益率截面秩百分位,
rank_volume,alpha族,当日全市场成交量截面秩百分位,
signed_vol_strength,alpha族,带符号成交量(量×sign(收−开)),
pv_corr_10,alpha族,量价相关(10 窗),
dist_to_high_60,alpha族,距 60 日高点比(收盘/(60 窗最高收盘+eps)),
vol_divergence,alpha族,波动背离(P6:5 日波动/滚动 100 交易日全市场均值),
vol_gk,结构化族,Garman-Klass 波动率,
vol_gk_ratio,结构化族,GK 波动率 20 日均值比,
illiq,结构化族,非流动性 Amihud(log(|收益|/(收×量+eps)+1)),
efficiency_ratio,结构化族,效率系数(10 日净位移/路径长度),
intraday_pos,结构化族,日内位置((收−低)/(高−低+eps)),
ret_overnight,结构化族,隔夜收益(开/昨收−1),
ret_intraday,结构化族,日内收益(收/开−1),
smart_money_diff,结构化族,聪明钱差(日内−隔夜),
high_mean_20,结构化族,20 日最高价均值,
low_mean_20,结构化族,20 日最低价均值,
support_resistance_ratio,结构化族,支撑阻力比(高均/低均),
log_volume,结构化族,对数成交量 log1p,
boxcox_atr,结构化族,ATR Box-Cox 变换(P5:lambda 按当日全市场截面 MLE),
rsi_robust,结构化族,"RSI(14) 稳健 Z(逐股全历史 expanding 中位数/IQR,IQR=0 退化)",
macd_robust,结构化族,"DIF 稳健 Z(逐股全历史 expanding 中位数/IQR,IQR=0 退化)",
close_lag_3,lag族,收盘价滞后 3 日,
open_lag_3,lag族,开盘价滞后 3 日,
high_lag_3,lag族,最高价滞后 3 日,
low_lag_3,lag族,最低价滞后 3 日,
close_lag_5,lag族,收盘价滞后 5 日,
open_lag_5,lag族,开盘价滞后 5 日,
high_lag_5,lag族,最高价滞后 5 日,
low_lag_5,lag族,最低价滞后 5 日,
close_lag_10,lag族,收盘价滞后 10 日,
open_lag_10,lag族,开盘价滞后 10 日,
high_lag_10,lag族,最高价滞后 10 日,
low_lag_10,lag族,最低价滞后 10 日,
close_lag_15,lag族,收盘价滞后 15 日,
open_lag_15,lag族,开盘价滞后 15 日,
high_lag_15,lag族,最高价滞后 15 日,
low_lag_15,lag族,最低价滞后 15 日,
close_lag_20,lag族,收盘价滞后 20 日,
open_lag_20,lag族,开盘价滞后 20 日,
high_lag_20,lag族,最高价滞后 20 日,
low_lag_20,lag族,最低价滞后 20 日,
close_lag_25,lag族,收盘价滞后 25 日,
open_lag_25,lag族,开盘价滞后 25 日,
high_lag_25,lag族,最高价滞后 25 日,
low_lag_25,lag族,最低价滞后 25 日,
close_lag_30,lag族,收盘价滞后 30 日,
open_lag_30,lag族,开盘价滞后 30 日,
high_lag_30,lag族,最高价滞后 30 日,
low_lag_30,lag族,最低价滞后 30 日,
volume_lag_3,lag族,成交量滞后 3 日,
volume_lag_5,lag族,成交量滞后 5 日,
volume_lag_10,lag族,成交量滞后 10 日,
volume_lag_15,lag族,成交量滞后 15 日,
volume_lag_20,lag族,成交量滞后 20 日,
volume_lag_25,lag族,成交量滞后 25 日,
volume_lag_30,lag族,成交量滞后 30 日,
daily_return,lag族,日收益率(P9 复制列 ≡ pct_change),
return_lag_1,lag族,日收益率滞后 1 日,
return_lag_2,lag族,日收益率滞后 2 日,
return_lag_3,lag族,日收益率滞后 3 日,
return_lag_5,lag族,日收益率滞后 5 日,
return_lag_10,lag族,日收益率滞后 10 日,
return_lag_20,lag族,日收益率滞后 20 日,
amplitude,lag族,振幅((高−低)/低),
amplitude_lag_1,lag族,振幅滞后 1 日,
amplitude_lag_3,lag族,振幅滞后 3 日,
amplitude_lag_5,lag族,振幅滞后 5 日,
vol_gk_lag_1,lag族,Garman-Klass 波动率滞后 1 日,
vol_gk_ratio_lag_1,lag族,GK 波动率 20 日均值比滞后 1 日,
vol_gk_lag_3,lag族,Garman-Klass 波动率滞后 3 日,
vol_gk_ratio_lag_3,lag族,GK 波动率 20 日均值比滞后 3 日,
vol_gk_lag_5,lag族,Garman-Klass 波动率滞后 5 日,
vol_gk_ratio_lag_5,lag族,GK 波动率 20 日均值比滞后 5 日,
vol_gk_lag_10,lag族,Garman-Klass 波动率滞后 10 日,
vol_gk_ratio_lag_10,lag族,GK 波动率 20 日均值比滞后 10 日,
illiq_lag_1,lag族,非流动性 Amihud滞后 1 日,
illiq_lag_3,lag族,非流动性 Amihud滞后 3 日,
illiq_lag_5,lag族,非流动性 Amihud滞后 5 日,
efficiency_ratio_lag_1,lag族,效率系数滞后 1 日,
efficiency_ratio_lag_3,lag族,效率系数滞后 3 日,
efficiency_ratio_lag_5,lag族,效率系数滞后 5 日,
intraday_pos_lag_1,lag族,日内位置滞后 1 日,
intraday_pos_lag_2,lag族,日内位置滞后 2 日,
intraday_pos_lag_3,lag族,日内位置滞后 3 日,
smart_money_diff_lag_1,lag族,聪明钱差滞后 1 日,
ret_overnight_lag_1,lag族,隔夜收益滞后 1 日,
ret_intraday_lag_1,lag族,日内收益滞后 1 日,
smart_money_diff_lag_3,lag族,聪明钱差滞后 3 日,
ret_overnight_lag_3,lag族,隔夜收益滞后 3 日,
ret_intraday_lag_3,lag族,日内收益滞后 3 日,
smart_money_diff_lag_5,lag族,聪明钱差滞后 5 日,
ret_overnight_lag_5,lag族,隔夜收益滞后 5 日,
ret_intraday_lag_5,lag族,日内收益滞后 5 日,
support_resistance_ratio_lag_1,lag族,支撑阻力比滞后 1 日,
support_resistance_ratio_lag_3,lag族,支撑阻力比滞后 3 日,
support_resistance_ratio_lag_5,lag族,支撑阻力比滞后 5 日,
sh_price_change,市场大盘族,上证指数日内涨幅((收−开)/开),
sh_amplitude,市场大盘族,上证指数振幅((高−低)/低),
sh_volume_ratio,市场大盘族,"上证指数量比(量/20 日均量,不足或零 → 1)",
sh_price_change_abs,市场大盘族,上证指数日内涨幅绝对值,
sh_price_wave_abs,市场大盘族,上证指数振幅绝对值(P9 复制列 ≡ sh_amplitude),
sh_sentiment,市场大盘族,上证指数情绪(涨>1%且振幅<2% → 2;跌>1%且振幅>3% → 0;否则 1),
sh_volume_signal,市场大盘族,上证指数量能信号(量比>1.2 → 1),
sz_price_change,市场大盘族,深证成指日内涨幅((收−开)/开),
sz_amplitude,市场大盘族,深证成指振幅((高−低)/低),
sz_volume_ratio,市场大盘族,"深证成指量比(量/20 日均量,不足或零 → 1)",
sz_price_change_abs,市场大盘族,深证成指日内涨幅绝对值,
sz_price_wave_abs,市场大盘族,深证成指振幅绝对值(P9 复制列 ≡ sz_amplitude),
sz_sentiment,市场大盘族,深证成指情绪(规则同上),
sz_volume_signal,市场大盘族,深证成指量能信号(量比>1.2 → 1),
sh_sz_sync_direction,市场大盘族,沪深同向标记(涨幅乘积>0),
sh_sz_sync_strength,市场大盘族,沪深涨幅差绝对值,
market_sentiment,市场大盘族,"市场情绪(两指数均值,规则同单指数)",
market_avg_change,市场大盘族,市场平均涨幅(两指数均值),
market_avg_amplitude,市场大盘族,市场平均振幅(两指数均值),
market_sync_score,市场大盘族,"市场同步得分(1−min(1,涨幅差/0.02))",
cs_n,横截面族,当日全市场截面股票数,
volume_rankpct,横截面族(rankpct),成交量·当日全市场截面秩百分位,
macd_rankpct,横截面族(rankpct),"MACD 快线 DIF(12,26,9)·当日全市场截面秩百分位",
macd_signal_rankpct,横截面族(rankpct),MACD 信号线 DEA·当日全市场截面秩百分位,
macd_hist_rankpct,横截面族(rankpct),MACD 柱(DIF−DEA)·当日全市场截面秩百分位,
rsi_6_rankpct,横截面族(rankpct),相对强弱指标 RSI(6)·当日全市场截面秩百分位,
rsi_14_rankpct,横截面族(rankpct),相对强弱指标 RSI(14)·当日全市场截面秩百分位,
rsi_24_rankpct,横截面族(rankpct),相对强弱指标 RSI(24)·当日全市场截面秩百分位,
ma_5_rankpct,横截面族(rankpct),收盘简单移动平均 MA(5)·当日全市场截面秩百分位,
ma_20_rankpct,横截面族(rankpct),收盘简单移动平均 MA(20)·当日全市场截面秩百分位,
ma_60_rankpct,横截面族(rankpct),收盘简单移动平均 MA(60)·当日全市场截面秩百分位,
bb_upper_rankpct,横截面族(rankpct),"布林上轨(20,2,2)·当日全市场截面秩百分位",
bb_middle_rankpct,横截面族(rankpct),"布林中轨(20,2,2)·当日全市场截面秩百分位",
bb_lower_rankpct,横截面族(rankpct),"布林下轨(20,2,2)·当日全市场截面秩百分位",
volume_ma_20_rankpct,横截面族(rankpct),"成交量移动平均 VMA(20,talib)·当日全市场截面秩百分位",
obv_rankpct,横截面族(rankpct),能量潮 OBV·当日全市场截面秩百分位,
atr_rankpct,横截面族(rankpct),平均真实波幅 ATR(14)·当日全市场截面秩百分位,
slowk_rankpct,横截面族(rankpct),"随机指标慢速 K(STOCH 5,3,3)·当日全市场截面秩百分位",
slowd_rankpct,横截面族(rankpct),"随机指标慢速 D(STOCH 5,3,3)·当日全市场截面秩百分位",
price_vs_ma5_rankpct,横截面族(rankpct),收盘对 MA5 乖离率·当日全市场截面秩百分位,
price_vs_ma20_rankpct,横截面族(rankpct),收盘对 MA20 乖离率·当日全市场截面秩百分位,
price_vs_ma60_rankpct,横截面族(rankpct),收盘对 MA60 乖离率·当日全市场截面秩百分位,
ma_arrangement_rankpct,横截面族(rankpct),均线排列(多头 1/空头 −1/其他 0)·当日全市场截面秩百分位,
bb_position_rankpct,横截面族(rankpct),布林通道内位置·当日全市场截面秩百分位,
bb_squeeze_rankpct,横截面族(rankpct),布林挤压标记(带宽/收盘<0.05)·当日全市场截面秩百分位,
rsi_oversold_6_rankpct,横截面族(rankpct),RSI(6) 超卖标记(<30)·当日全市场截面秩百分位,
rsi_oversold_14_rankpct,横截面族(rankpct),RSI(14) 超卖标记(<30)·当日全市场截面秩百分位,
rsi_oversold_24_rankpct,横截面族(rankpct),RSI(24) 超卖标记(<30)·当日全市场截面秩百分位,
rsi_overbought_6_rankpct,横截面族(rankpct),RSI(6) 超买标记(>70)·当日全市场截面秩百分位,
rsi_overbought_14_rankpct,横截面族(rankpct),RSI(14) 超买标记(>70)·当日全市场截面秩百分位,
rsi_overbought_24_rankpct,横截面族(rankpct),RSI(24) 超买标记(>70)·当日全市场截面秩百分位,
macd_signal_distance_rankpct,横截面族(rankpct),DIF−DEA 距离·当日全市场截面秩百分位,
macd_golden_cross_rankpct,横截面族(rankpct),MACD 金叉标记(族 3 覆盖值:昨 DIF<昨 DEA 且今 DIF>今 DEA)·当日全市场截面秩百分位,
volume_ma20_rankpct,横截面族(rankpct),"成交量均值(20,min_periods=1)·当日全市场截面秩百分位",
volume_ratio_rankpct,横截面族(rankpct),量比(成交量/20 日均量)·当日全市场截面秩百分位,
volume_spike_rankpct,横截面族(rankpct),放量标记(量比>2)·当日全市场截面秩百分位,
volume_dryup_rankpct,横截面族(rankpct),缩量标记(量比<0.5)·当日全市场截面秩百分位,
atr_ratio_rankpct,横截面族(rankpct),ATR 占比(ATR/收盘)·当日全市场截面秩百分位,
hammer_pattern_rankpct,横截面族(rankpct),锤子线形态标记·当日全市场截面秩百分位,
doji_pattern_rankpct,横截面族(rankpct),十字星形态标记(实体<全幅 0.1)·当日全市场截面秩百分位,
distance_to_support_rankpct,横截面族(rankpct),"至支撑位距离(20 窗最低价,前 20 行强制 0)·当日全市场截面秩百分位",
distance_to_resistance_rankpct,横截面族(rankpct),"至阻力位距离(20 窗最高价,前 20 行强制 0)·当日全市场截面秩百分位",
stoch_oversold_rankpct,横截面族(rankpct),随机指标超卖标记(慢速 K<20)·当日全市场截面秩百分位,
stoch_overbought_rankpct,横截面族(rankpct),随机指标超买标记(慢速 D>80)·当日全市场截面秩百分位,
macd_percentile_rankpct,横截面族(rankpct),"MACD 百分位(P7:按股截尾 100 行不含当日,rank 法;恰为 50 → NaN)·当日全市场截面秩百分位",
obv_trend_rankpct,横截面族(rankpct),OBV 趋势(6 点最小二乘斜率)·当日全市场截面秩百分位,
volatility_3d_rankpct,横截面族(rankpct),年化波动率(3 日日对数收益标准差×√252)·当日全市场截面秩百分位,
volatility_5d_rankpct,横截面族(rankpct),年化波动率(5 日日对数收益标准差×√252)·当日全市场截面秩百分位,
volatility_10d_rankpct,横截面族(rankpct),年化波动率(10 日日对数收益标准差×√252)·当日全市场截面秩百分位,
volatility_15d_rankpct,横截面族(rankpct),年化波动率(15 日日对数收益标准差×√252)·当日全市场截面秩百分位,
volatility_20d_rankpct,横截面族(rankpct),年化波动率(20 日日对数收益标准差×√252)·当日全市场截面秩百分位,
volatility_25d_rankpct,横截面族(rankpct),年化波动率(25 日日对数收益标准差×√252)·当日全市场截面秩百分位,
volatility_30d_rankpct,横截面族(rankpct),年化波动率(30 日日对数收益标准差×√252)·当日全市场截面秩百分位,
engulfing_pattern_rankpct,横截面族(rankpct),吞没形态标记(首行强制 0)·当日全市场截面秩百分位,
signed_volume_strength_rankpct,横截面族(rankpct),带符号量能强度(量比×(收−开)/开)·当日全市场截面秩百分位,
close_vs_high_rankpct,横截面族(rankpct),收盘距当日高点相对位置((高−收)/(高−低))·当日全市场截面秩百分位,
volume_ma_ratio_rankpct,横截面族(rankpct),"量能均线比(5 均量前一日/10 均量前一日,缺 → 1)·当日全市场截面秩百分位",
rsi_momentum_rankpct,横截面族(rankpct),"RSI(14) 动量(一阶差分,首行 0)·当日全市场截面秩百分位",
rsi_turning_simple_rankpct,横截面族(rankpct),RSI 简单转向标记(差分符号翻转)·当日全市场截面秩百分位,
rsi_turning_rankpct,横截面族(rankpct),RSI 转向标记(顶/底拐点)·当日全市场截面秩百分位,
volume_trend_5_rankpct,横截面族(rankpct),成交量趋势(6 点斜率)·当日全市场截面秩百分位,
volume_trend_10_rankpct,横截面族(rankpct),成交量趋势(11 点斜率)·当日全市场截面秩百分位,
price_trend_5_rankpct,横截面族(rankpct),价格趋势(6 点斜率)·当日全市场截面秩百分位,
price_volume_divergence_rankpct,横截面族(rankpct),量价背离标记(价/量 6 点斜率异号)·当日全市场截面秩百分位,
volume_consistency_rankpct,横截面族(rankpct),成交量一致性(6 窗标准差/均值)·当日全市场截面秩百分位,
macd_hist_trend_5_rankpct,横截面族(rankpct),"MACD 柱趋势(6 窗 min_periods=2 斜率,输入填 0)·当日全市场截面秩百分位",
macd_death_cross_rankpct,横截面族(rankpct),MACD 死叉标记·当日全市场截面秩百分位,
macd_signal_cross_rankpct,横截面族(rankpct),MACD 信号交叉(P9 复制列 ≡ macd_golden_cross)·当日全市场截面秩百分位,
macd_zero_cross_up_rankpct,横截面族(rankpct),DIF 上穿零轴标记·当日全市场截面秩百分位,
macd_zero_cross_down_rankpct,横截面族(rankpct),DIF 下穿零轴标记·当日全市场截面秩百分位,
macd_zero_cross_rankpct,横截面族(rankpct),DIF 零轴交叉标记·当日全市场截面秩百分位,
macd_hist_amplitude_rankpct,横截面族(rankpct),MACD 柱振幅(20 窗极差)·当日全市场截面秩百分位,
macd_hist_direction_rankpct,横截面族(rankpct),MACD 柱方向(sign)·当日全市场截面秩百分位,
macd_hist_acceleration_rankpct,横截面族(rankpct),MACD 柱加速度(二阶差分)·当日全市场截面秩百分位,
macd_signal_convergence_rankpct,横截面族(rankpct),DIF−DEA 收敛度(P9 复制列 ≡ macd_signal_distance)·当日全市场截面秩百分位,
macd_signal_convergence_trend_rankpct,横截面族(rankpct),DIF−DEA 收敛趋势(5 窗 min_periods=2 斜率)·当日全市场截面秩百分位,
pct_change_rankpct,横截面族(rankpct),日收益率·当日全市场截面秩百分位,
clv_rankpct,横截面族(rankpct),收盘位置值((收−低)/(高−低+eps))·当日全市场截面秩百分位,
upper_shadow_ratio_rankpct,横截面族(rankpct),上影线占比·当日全市场截面秩百分位,
body_strength_rankpct,横截面族(rankpct),实体强度((收−开)/(高−低+eps))·当日全市场截面秩百分位,
rank_return_rankpct,横截面族(rankpct),当日全市场收益率截面秩百分位·当日全市场截面秩百分位,
rank_volume_rankpct,横截面族(rankpct),当日全市场成交量截面秩百分位·当日全市场截面秩百分位,
signed_vol_strength_rankpct,横截面族(rankpct),带符号成交量(量×sign(收−开))·当日全市场截面秩百分位,
pv_corr_10_rankpct,横截面族(rankpct),量价相关(10 窗)·当日全市场截面秩百分位,
dist_to_high_60_rankpct,横截面族(rankpct),距 60 日高点比(收盘/(60 窗最高收盘+eps))·当日全市场截面秩百分位,
vol_divergence_rankpct,横截面族(rankpct),波动背离(P6:5 日波动/滚动 100 交易日全市场均值)·当日全市场截面秩百分位,
vol_gk_rankpct,横截面族(rankpct),Garman-Klass 波动率·当日全市场截面秩百分位,
vol_gk_ratio_rankpct,横截面族(rankpct),GK 波动率 20 日均值比·当日全市场截面秩百分位,
illiq_rankpct,横截面族(rankpct),非流动性 Amihud(log(|收益|/(收×量+eps)+1))·当日全市场截面秩百分位,
efficiency_ratio_rankpct,横截面族(rankpct),效率系数(10 日净位移/路径长度)·当日全市场截面秩百分位,
intraday_pos_rankpct,横截面族(rankpct),日内位置((收−低)/(高−低+eps))·当日全市场截面秩百分位,
ret_overnight_rankpct,横截面族(rankpct),隔夜收益(开/昨收−1)·当日全市场截面秩百分位,
ret_intraday_rankpct,横截面族(rankpct),日内收益(收/开−1)·当日全市场截面秩百分位,
smart_money_diff_rankpct,横截面族(rankpct),聪明钱差(日内−隔夜)·当日全市场截面秩百分位,
high_mean_20_rankpct,横截面族(rankpct),20 日最高价均值·当日全市场截面秩百分位,
low_mean_20_rankpct,横截面族(rankpct),20 日最低价均值·当日全市场截面秩百分位,
support_resistance_ratio_rankpct,横截面族(rankpct),支撑阻力比(高均/低均)·当日全市场截面秩百分位,
log_volume_rankpct,横截面族(rankpct),对数成交量 log1p·当日全市场截面秩百分位,
boxcox_atr_rankpct,横截面族(rankpct),ATR Box-Cox 变换(P5:lambda 按当日全市场截面 MLE)·当日全市场截面秩百分位,
rsi_robust_rankpct,横截面族(rankpct),"RSI(14) 稳健 Z(逐股全历史 expanding 中位数/IQR,IQR=0 退化)·当日全市场截面秩百分位",
macd_robust_rankpct,横截面族(rankpct),"DIF 稳健 Z(逐股全历史 expanding 中位数/IQR,IQR=0 退化)·当日全市场截面秩百分位",
close_lag_3_rankpct,横截面族(rankpct),收盘价滞后 3 日·当日全市场截面秩百分位,
open_lag_3_rankpct,横截面族(rankpct),开盘价滞后 3 日·当日全市场截面秩百分位,
high_lag_3_rankpct,横截面族(rankpct),最高价滞后 3 日·当日全市场截面秩百分位,
low_lag_3_rankpct,横截面族(rankpct),最低价滞后 3 日·当日全市场截面秩百分位,
close_lag_5_rankpct,横截面族(rankpct),收盘价滞后 5 日·当日全市场截面秩百分位,
open_lag_5_rankpct,横截面族(rankpct),开盘价滞后 5 日·当日全市场截面秩百分位,
high_lag_5_rankpct,横截面族(rankpct),最高价滞后 5 日·当日全市场截面秩百分位,
low_lag_5_rankpct,横截面族(rankpct),最低价滞后 5 日·当日全市场截面秩百分位,
close_lag_10_rankpct,横截面族(rankpct),收盘价滞后 10 日·当日全市场截面秩百分位,
open_lag_10_rankpct,横截面族(rankpct),开盘价滞后 10 日·当日全市场截面秩百分位,
high_lag_10_rankpct,横截面族(rankpct),最高价滞后 10 日·当日全市场截面秩百分位,
low_lag_10_rankpct,横截面族(rankpct),最低价滞后 10 日·当日全市场截面秩百分位,
close_lag_15_rankpct,横截面族(rankpct),收盘价滞后 15 日·当日全市场截面秩百分位,
open_lag_15_rankpct,横截面族(rankpct),开盘价滞后 15 日·当日全市场截面秩百分位,
high_lag_15_rankpct,横截面族(rankpct),最高价滞后 15 日·当日全市场截面秩百分位,
low_lag_15_rankpct,横截面族(rankpct),最低价滞后 15 日·当日全市场截面秩百分位,
close_lag_20_rankpct,横截面族(rankpct),收盘价滞后 20 日·当日全市场截面秩百分位,
open_lag_20_rankpct,横截面族(rankpct),开盘价滞后 20 日·当日全市场截面秩百分位,
high_lag_20_rankpct,横截面族(rankpct),最高价滞后 20 日·当日全市场截面秩百分位,
low_lag_20_rankpct,横截面族(rankpct),最低价滞后 20 日·当日全市场截面秩百分位,
close_lag_25_rankpct,横截面族(rankpct),收盘价滞后 25 日·当日全市场截面秩百分位,
open_lag_25_rankpct,横截面族(rankpct),开盘价滞后 25 日·当日全市场截面秩百分位,
high_lag_25_rankpct,横截面族(rankpct),最高价滞后 25 日·当日全市场截面秩百分位,
low_lag_25_rankpct,横截面族(rankpct),最低价滞后 25 日·当日全市场截面秩百分位,
close_lag_30_rankpct,横截面族(rankpct),收盘价滞后 30 日·当日全市场截面秩百分位,
open_lag_30_rankpct,横截面族(rankpct),开盘价滞后 30 日·当日全市场截面秩百分位,
high_lag_30_rankpct,横截面族(rankpct),最高价滞后 30 日·当日全市场截面秩百分位,
low_lag_30_rankpct,横截面族(rankpct),最低价滞后 30 日·当日全市场截面秩百分位,
volume_lag_3_rankpct,横截面族(rankpct),成交量滞后 3 日·当日全市场截面秩百分位,
volume_lag_5_rankpct,横截面族(rankpct),成交量滞后 5 日·当日全市场截面秩百分位,
volume_lag_10_rankpct,横截面族(rankpct),成交量滞后 10 日·当日全市场截面秩百分位,
volume_lag_15_rankpct,横截面族(rankpct),成交量滞后 15 日·当日全市场截面秩百分位,
volume_lag_20_rankpct,横截面族(rankpct),成交量滞后 20 日·当日全市场截面秩百分位,
volume_lag_25_rankpct,横截面族(rankpct),成交量滞后 25 日·当日全市场截面秩百分位,
volume_lag_30_rankpct,横截面族(rankpct),成交量滞后 30 日·当日全市场截面秩百分位,
daily_return_rankpct,横截面族(rankpct),日收益率(P9 复制列 ≡ pct_change)·当日全市场截面秩百分位,
return_lag_1_rankpct,横截面族(rankpct),日收益率滞后 1 日·当日全市场截面秩百分位,
return_lag_2_rankpct,横截面族(rankpct),日收益率滞后 2 日·当日全市场截面秩百分位,
return_lag_3_rankpct,横截面族(rankpct),日收益率滞后 3 日·当日全市场截面秩百分位,
return_lag_5_rankpct,横截面族(rankpct),日收益率滞后 5 日·当日全市场截面秩百分位,
return_lag_10_rankpct,横截面族(rankpct),日收益率滞后 10 日·当日全市场截面秩百分位,
